gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.05811465701852693,0.06599931154320025,0.06209949679088129,0.001206679944058155,0.0011675188502475401,-0.06205698428086359,0.0015681284680309656
101_STEAM_4,THERMAL,2020-07-15 00:00:00,0.05017559124818752,0.06855838616499063,0.059613694702679854,-0.00360240428908571,-0.0021790662349462173,0.059366988706589074,-0.0034099269343696335
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.4380031603793523,0.4380031603793523,0.22807874543235868,-0.08132137812934104,-0.0820022716830765,-0.11545416352412818,-0.15922534704280655
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.43798760260808767,0.43798760260808767,0.22807215329979463,-0.08131866979117541,-0.08200050655010871,-0.11543985557508174,-0.1592285706917218
107_CC_1,THERMAL,2020-07-15 00:00:00,1.0138705128986112e-08,3.4652781231363766e-08,1.9400027081535183e-08,1.3543187460385298e-08,5.753732379432108e-09,-1.2257038051188829e-08,3.098823340357535e-09
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-4.0605652927560695e-08,4.0605652927560695e-08,2.704780190161972e-08,-1.1171836789003464e-09,-7.599695317495048e-09,-6.8853260870582744e-09,-2.500344784410703e-08
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-0.3281643994690282,0.3281643994690282,0.1850500656006782,-0.03768462969797792,-0.06426750210566468,-0.07369110741330598,-0.15252116025207965
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,THERMAL,2020-07-15 00:00:00,1.2208829025758525e-08,2.989855366596657e-08,1.8018987193547177e-08,3.824169980681802e-09,2.1572135189273922e-09,1.5072307846253352e-08,-8.844862320104021e-09
