line,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325
A1,0.000000,-0.942885,-0.340650,-0.683989,-0.209543,-0.550990,-0.442530,-0.445379,-0.471980,-0.426482,-0.438385,-0.440583,-0.436340,-0.429329,-0.410124,-0.416607,-0.414862,-0.414049,-0.421964,-0.426622,-0.413295,-0.413911,-0.429184,-0.383560,-0.433017,-0.432954,-0.435013,-0.432771,-0.432600,-0.432357,-0.432394,-0.432394,-0.432621,-0.432168,-0.431940,-0.431607,-0.431425,-0.431937,-0.432682,-0.431932,-0.431638,-0.431902,-0.431177,-0.430520,-0.432147,-0.431947,-0.430159,-0.433573,-0.421239,-0.421224,-0.421704,-0.421182,-0.421142,-0.421085,-0.421094,-0.421094,-0.421147,-0.421041,-0.421170,-0.420729,-0.420722,-0.421637,-0.422641,-0.422292,-0.423199,-0.423679,-0.421273,-0.420387,-0.423313,-0.423269,-0.419900,-0.422283,-0.419339
A2,0.000000,-0.022602,-0.441678,-0.149396,-0.087688,-0.140890,-0.229785,-0.223861,-0.253226,-0.178471,-0.238406,-0.233835,-0.242660,-0.257241,-0.297185,-0.283699,-0.287329,-0.289020,-0.272558,-0.262870,-0.290589,-0.289308,-0.257542,-0.352432,-0.249570,-0.249702,-0.245420,-0.250083,-0.250438,-0.250942,-0.250865,-0.250865,-0.250395,-0.251336,-0.251810,-0.252502,-0.252882,-0.251817,-0.250268,-0.251827,-0.252440,-0.251890,-0.253397,-0.254763,-0.251380,-0.251796,-0.255514,-0.248414,-0.274066,-0.274097,-0.273099,-0.274186,-0.274268,-0.274386,-0.274368,-0.274368,-0.274258,-0.274478,-0.274211,-0.275127,-0.275141,-0.273240,-0.271150,-0.271876,-0.269989,-0.268993,-0.273995,-0.275838,-0.269752,-0.269845,-0.276852,-0.271895,-0.278018
A3,0.000000,-0.034513,-0.217672,-0.166615,-0.702769,-0.308120,-0.327685,-0.330761,-0.274794,-0.395047,-0.323209,-0.325582,-0.321000,-0.313430,-0.292692,-0.299693,-0.297809,-0.296931,-0.305478,-0.310507,-0.296116,-0.296781,-0.313274,-0.264008,-0.317413,-0.317344,-0.319567,-0.317146,-0.316962,-0.316700,-0.316740,-0.316740,-0.316985,-0.316496,-0.316250,-0.315890,-0.315693,-0.316246,-0.317050,-0.316241,-0.315923,-0.316208,-0.315426,-0.314716,-0.316473,-0.316257,-0.314326,-0.318013,-0.304695,-0.304679,-0.305197,-0.304633,-0.304590,-0.304529,-0.304538,-0.304538,-0.304595,-0.304481,-0.304620,-0.304144,-0.304137,-0.305124,-0.306209,-0.305832,-0.306811,-0.307329,-0.304731,-0.303775,-0.306934,-0.306886,-0.303248,-0.305822,-0.302643
A4,0.000000,0.028540,-0.210657,-0.607907,-0.088415,-0.129682,-0.242949,-0.243852,-0.310195,-0.179951,-0.241635,-0.242332,-0.240987,-0.238765,-0.232677,-0.234732,-0.234179,-0.233922,-0.236430,-0.237907,-0.233682,-0.233878,-0.238719,-0.224258,-0.239934,-0.239913,-0.240566,-0.239855,-0.239801,-0.239724,-0.239736,-0.239736,-0.239808,-0.239664,-0.239592,-0.239487,-0.239429,-0.239591,-0.239827,-0.239590,-0.239496,-0.239580,-0.239350,-0.239142,-0.239658,-0.239594,-0.239028,-0.240110,-0.236200,-0.236196,-0.236348,-0.236182,-0.236170,-0.236152,-0.236154,-0.236154,-0.236171,-0.236138,-0.236178,-0.236039,-0.236037,-0.236326,-0.236645,-0.236534,-0.236822,-0.236974,-0.236211,-0.235930,-0.236858,-0.236844,-0.235776,-0.236531,-0.235598
A5,0.000000,0.028576,-0.129993,-0.076082,-0.121128,-0.421308,-0.199581,-0.201527,-0.161785,-0.246531,-0.196750,-0.198251,-0.195353,-0.190564,-0.177446,-0.181875,-0.180683,-0.180128,-0.185534,-0.188716,-0.179612,-0.180033,-0.190466,-0.159302,-0.193084,-0.193040,-0.194447,-0.192915,-0.192799,-0.192633,-0.192658,-0.192658,-0.192813,-0.192504,-0.192348,-0.192121,-0.191996,-0.192346,-0.192854,-0.192343,-0.192141,-0.192322,-0.191827,-0.191378,-0.192489,-0.192353,-0.191131,-0.193463,-0.185039,-0.185029,-0.185357,-0.185000,-0.184972,-0.184934,-0.184940,-0.184940,-0.184976,-0.184904,-0.184991,-0.184690,-0.184686,-0.185310,-0.185997,-0.185758,-0.186378,-0.186705,-0.185062,-0.184457,-0.186456,-0.186425,-0.184124,-0.185752,-0.183741
A6,0.000000,-0.015451,0.334145,-0.121681,-0.040801,-0.066745,-0.116236,-0.128827,-0.208672,-0.083042,-0.097911,-0.107626,-0.088868,-0.057877,0.027024,-0.001639,0.006075,0.009669,-0.025320,-0.045912,0.013005,0.010281,-0.057238,0.144453,-0.074182,-0.073901,-0.083002,-0.073092,-0.072337,-0.071265,-0.071428,-0.071428,-0.072429,-0.070427,-0.069420,-0.067949,-0.067141,-0.069405,-0.072699,-0.069385,-0.068083,-0.069251,-0.066047,-0.063143,-0.070335,-0.069450,-0.061547,-0.076638,-0.022115,-0.022050,-0.024172,-0.021861,-0.021685,-0.021435,-0.021473,-0.021473,-0.021707,-0.021240,-0.021808,-0.019860,-0.019831,-0.023871,-0.028314,-0.026771,-0.030780,-0.032899,-0.022266,-0.018348,-0.031284,-0.031086,-0.016194,-0.026730,-0.013715
A7,0.000000,-0.007152,0.224177,-0.027715,-0.046887,-0.074145,-0.113549,-0.095033,-0.044554,-0.095429,-0.140495,-0.126209,-0.153792,-0.199364,-0.324209,-0.282060,-0.293404,-0.298688,-0.247238,-0.216958,-0.303595,-0.299589,-0.200304,-0.496885,-0.175388,-0.175801,-0.162418,-0.176991,-0.178100,-0.179677,-0.179437,-0.179437,-0.177965,-0.180909,-0.182390,-0.184553,-0.185741,-0.182412,-0.177569,-0.182442,-0.184357,-0.182639,-0.187351,-0.191620,-0.181044,-0.182346,-0.193968,-0.171776,-0.251951,-0.252047,-0.248927,-0.252324,-0.252583,-0.252951,-0.252895,-0.252895,-0.252551,-0.253238,-0.252403,-0.255267,-0.255310,-0.249368,-0.242836,-0.245105,-0.239209,-0.236094,-0.251730,-0.257490,-0.238468,-0.238759,-0.260658,-0.245165,-0.264304
A8,0.000000,0.028540,-0.210657,0.392093,-0.088415,-0.129682,-0.242949,-0.243852,-0.310195,-0.179951,-0.241635,-0.242332,-0.240987,-0.238765,-0.232677,-0.234732,-0.234179,-0.233922,-0.236430,-0.237907,-0.233682,-0.233878,-0.238719,-0.224258,-0.239934,-0.239913,-0.240566,-0.239855,-0.239801,-0.239724,-0.239736,-0.239736,-0.239808,-0.239664,-0.239592,-0.239487,-0.239429,-0.239591,-0.239827,-0.239590,-0.239496,-0.239580,-0.239350,-0.239142,-0.239658,-0.239594,-0.239028,-0.240110,-0.236200,-0.236196,-0.236348,-0.236182,-0.236170,-0.236152,-0.236154,-0.236154,-0.236171,-0.236138,-0.236178,-0.236039,-0.236037,-0.236326,-0.236645,-0.236534,-0.236822,-0.236974,-0.236211,-0.235930,-0.236858,-0.236844,-0.235776,-0.236531,-0.235598
A9,0.000000,-0.034513,-0.217672,-0.166615,0.297231,-0.308120,-0.327685,-0.330761,-0.274794,-0.395047,-0.323209,-0.325582,-0.321000,-0.313430,-0.292692,-0.299693,-0.297809,-0.296931,-0.305478,-0.310507,-0.296116,-0.296781,-0.313274,-0.264008,-0.317413,-0.317344,-0.319567,-0.317146,-0.316962,-0.316700,-0.316740,-0.316740,-0.316985,-0.316496,-0.316250,-0.315890,-0.315693,-0.316246,-0.317050,-0.316241,-0.315923,-0.316208,-0.315426,-0.314716,-0.316473,-0.316257,-0.314326,-0.318013,-0.304695,-0.304679,-0.305197,-0.304633,-0.304590,-0.304529,-0.304538,-0.304538,-0.304595,-0.304481,-0.304620,-0.304144,-0.304137,-0.305124,-0.306209,-0.305832,-0.306811,-0.307329,-0.304731,-0.303775,-0.306934,-0.306886,-0.303248,-0.305822,-0.302643
A10,0.000000,0.028576,-0.129993,-0.076082,-0.121128,0.578692,-0.199581,-0.201527,-0.161785,-0.246531,-0.196750,-0.198251,-0.195353,-0.190564,-0.177446,-0.181875,-0.180683,-0.180128,-0.185534,-0.188716,-0.179612,-0.180033,-0.190466,-0.159302,-0.193084,-0.193040,-0.194447,-0.192915,-0.192799,-0.192633,-0.192658,-0.192658,-0.192813,-0.192504,-0.192348,-0.192121,-0.191996,-0.192346,-0.192854,-0.192343,-0.192141,-0.192322,-0.191827,-0.191378,-0.192489,-0.192353,-0.191131,-0.193463,-0.185039,-0.185029,-0.185357,-0.185000,-0.184972,-0.184934,-0.184940,-0.184940,-0.184976,-0.184904,-0.184991,-0.184690,-0.184686,-0.185310,-0.185997,-0.185758,-0.186378,-0.186705,-0.185062,-0.184457,-0.186456,-0.186425,-0.184124,-0.185752,-0.183741
