,0,1,2,3
0,551.34814,145.1619,18.156998,196.0261
1,501.44415,152.2548,15.664923,152.29224
2,461.0842,158.25285,15.5889015,120.303116
3,451.32022,158.32324,17.32027,111.58949
4,499.6176,157.40138,26.148924,123.34203
5,497.70105,149.34889,32.2975,128.35107
6,388.80972,155.79407,34.984055,172.87128
7,406.42462,145.07396,31.61547,152.50876
8,514.48303,137.77194,31.821873,94.7619
9,484.70645,140.8941,32.216797,137.1357
10,451.23618,137.87218,30.84218,162.57373
11,428.2471,123.430984,29.504246,156.67816
12,406.4557,114.16648,28.872068,151.87029
13,390.38922,114.18033,28.663012,152.13994
14,399.35666,129.68329,29.490726,154.069
15,454.71326,271.39243,51.666767,269.3056
16,492.6716,248.58969,60.275093,328.733
17,511.91528,252.26694,66.28712,349.58313
18,524.7443,304.0264,75.52461,367.02808
19,549.2772,420.33643,87.35115,404.13904
20,581.444,484.59225,82.41044,417.17538
21,587.09174,527.45703,88.90341,454.11545
22,602.6408,621.3113,86.77294,514.6995
23,612.9563,571.3415,76.826164,542.9922
