gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.003969628388503777,0.003969628388503777,0.002085077579809471,-0.0011985134886364742,-0.0005062315626856084,-0.0013445681294576993,-0.0009203152077239948
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.003969628388511906,0.003969628388511906,0.002085077579813885,-0.0011985134886390606,-0.0005062315626864012,-0.0013445681294608348,-0.0009203152077256098
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.4379948016006099,0.4379948016006099,0.22805991879032722,-0.08135642783808639,-0.08202763393720958,-0.11541477529948008,-0.15919596452583387
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.4379948016005926,0.4379948016005926,0.22805991879031492,-0.08135642783808644,-0.08202763393720963,-0.11541477529948097,-0.15919596452581558
107_CC_1,THERMAL,2020-07-15 00:00:00,1.3278749915536415e-08,1.3278749915536415e-08,6.995023973502144e-09,4.348623239280869e-09,3.6002107961508045e-09,3.859595310018449e-09,1.4703205700862925e-09
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-2.4557082590513617e-08,2.4557082590513617e-08,1.5207669243033618e-08,-1.5388202934119022e-09,-4.40147274183289e-09,-5.0516444360937385e-09,-1.3565145119175085e-08
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-0.32824753846611143,0.32824753846611143,0.18507878479948933,-0.0377132464751434,-0.0643096211880625,-0.07369571831000776,-0.15252895249289775
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,THERMAL,2020-07-15 00:00:00,-4.111159142319271e-09,7.097486105813706e-09,5.4672589260334435e-09,1.4931634817472172e-09,-1.9601886780407085e-10,-1.5482992665738493e-10,-5.253473829605033e-09
