gen_id,gen_type,Z_row_sum_mean,Z_row_sum_std,Z_row_sum_min,Z_row_sum_max,Z_row_abs_sum_mean,Z_row_abs_sum_max,Z_row_norm_mean,Z_row_norm_max
101_CT_1,THERMAL,-3.429060982836389e-15,1.0999129848973692e-13,-3.972100426352654e-13,3.196462192156524e-13,9.246402073757605e-14,8.32993396482351e-13,6.882755629418699e-14,6.360004939031944e-13
101_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,-0.0168939383130776,0.026856927331103873,-0.09824415744819254,0.00017343864669633037,0.016916489341961646,0.09824415744819254,0.008565631920170088,0.04912226453477545
101_STEAM_4,THERMAL,-0.016903348794829038,0.026851618874200536,-0.09824415744819254,0.0001734386466889428,0.016925899823710355,0.09824415744819254,0.008570723712601624,0.04912226453477545
102_CT_1,THERMAL,-4.224584103662415e-06,2.5343025787861295e-05,-0.00015205890041131268,2.6155687858631094e-12,4.224584287203468e-06,0.00015205890041131268,2.1124736790025085e-06,7.602945426327992e-05
102_CT_2,THERMAL,-3.671586683279435e-10,2.2029520099676607e-09,-1.3217712059805966e-08,0.0,3.671586683279435e-10,1.3217712059805966e-08,1.8546699222749248e-10,6.67681172018973e-09
102_STEAM_3,THERMAL,-0.06190073879580846,0.1137528282089274,-0.4814929130260126,0.0,0.06190073879580846,0.4814929130260126,0.030980797070813828,0.241179535928163
102_STEAM_4,THERMAL,-0.06118107874412679,0.11289415765640864,-0.4814929130260126,0.0,0.06118107874412679,0.4814929130260126,0.03062078917724057,0.241179535928163
107_CC_1,THERMAL,-0.2451982102968856,0.5313265097466885,-1.810344925928003,0.0,0.2451982102968856,1.810344925928003,0.12261936753823464,0.9051724722266272
113_CT_1,THERMAL,-1.484702238659868e-14,5.174514547623669e-14,-2.780312872291413e-13,0.0,2.1681061893735754e-14,2.915445662665661e-13,1.9378454409907256e-14,2.780312872291413e-13
113_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,7.709949749742223e-13,7.29887279796757e-12,-1.345717837336455e-11,3.4370068204586135e-11,3.3651569520859847e-12,4.9759370761292707e-11,2.8981498849676617e-12,4.2762697336273646e-11
115_STEAM_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,-0.03518263693805137,0.08348184656626989,-0.36581625167368625,0.0,0.03518263693805137,0.36581625167368625,0.017615379355430092,0.183566139357058
116_STEAM_1,THERMAL,-0.04506966228657029,0.10913243149284442,-0.45926323707915817,0.0,0.04506966228657029,0.45926323707915817,0.022567098715924532,0.2299228190119484
118_CC_1,THERMAL,-0.014973681544958326,0.03446265425751649,-0.11246111222530747,5.878006955187054e-15,0.014973681544958659,0.11246111222530747,0.007486842298115062,0.05623055617469015
122_WIND_1,WIND,0.6666666666666666,0.47809144373375745,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
123_CT_1,THERMAL,-1.0065378798287558e-10,4.3931467950724703e-10,-2.371065680600859e-09,1.528705631647704e-11,1.0417563612889499e-10,2.3713379558587544e-09,1.034187223909946e-10,2.3709060112610954e-09
123_CT_4,THERMAL,3.779042893031624e-12,2.2674257358189745e-11,0.0,1.3604554414913847e-10,7.012694954057452e-12,2.5245701834606827e-10,4.23450309018162e-12,1.5244211124653832e-10
123_CT_5,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,THERMAL,-0.035968431905765985,0.08108121462967367,-0.32940212047355105,0.0,0.035968431905765985,0.32940212047355105,0.018034706035153208,0.16483171547436906
123_STEAM_3,THERMAL,-0.06487424849547017,0.17248657433493628,-0.743838085570198,0.0,0.06487424849547017,0.743838085570198,0.03255619885200345,0.3722139559910538
